cod_istat 	 cod_istat_reg 	 cod_istat_pro 	name                                      	WKT_southernmost                       	WS_EPGS_4326	S_EPGS_4326
1247	1	1	 San Martino Canavese                                                           	 POINT(7.8330325 45.371416)	7.8330325	45.371416
1248	1	1	 San Maurizio Canavese                                                          	 POINT(7.6045204 45.1804385)	7.6045204	45.1804385
1249	1	1	 San Mauro Torinese                                                             	 POINT(7.7668951 45.0809667)	7.7668951	45.0809667
1250	1	1	 San Pietro Val Lemina                                                          	 POINT(7.3158279 44.8956531)	7.3158279	44.8956531
1251	1	1	 San Ponso                                                                      	 POINT(7.6477671 45.3397537)	7.6477671	45.3397537
1252	1	1	 San Raffaele Cimena                                                            	 POINT(7.8494432 45.1327509)	7.8494432	45.1327509
1253	1	1	 San Sebastiano da Po                                                           	 POINT(7.9278463 45.1414669)	7.9278463	45.1414669
1254	1	1	 San Secondo di Pinerolo                                                        	 POINT(7.2811701 44.8431858)	7.2811701	44.8431858
1255	1	1	 Sant'Ambrogio di Torino                                                        	 POINT(7.3606277 45.0835035)	7.3606277	45.0835035
1256	1	1	 Sant'Antonino di Susa                                                          	 POINT(7.2701542 45.0753362)	7.2701542	45.0753362
1257	1	1	 Santena                                                                        	 POINT(7.7884804 44.9158967)	7.7884804	44.9158967
1258	1	1	 Sauze di Cesana                                                                	 POINT(6.9954202 44.841839)	6.9954202	44.841839
1259	1	1	 Sauze d'Oulx                                                                   	 POINT(6.8710147 44.9932994)	6.8710147	44.9932994
1260	1	1	 Scalenghe                                                                      	 POINT(7.5084848 44.8726631)	7.5084848	44.8726631
1261	1	1	 Scarmagno                                                                      	 POINT(7.8324256 45.3563416)	7.8324256	45.3563416
1262	1	1	 Sciolze                                                                        	 POINT(7.8784455 45.080384)	7.8784455	45.080384
1263	1	1	 Sestriere                                                                      	 POINT(6.9237133 44.9320039)	6.9237133	44.9320039
1264	1	1	 Settimo Rottaro                                                                	 POINT(7.9963783 45.3920645)	7.9963783	45.3920645
1265	1	1	 Settimo Torinese                                                               	 POINT(7.7674911 45.1113854)	7.7674911	45.1113854
1266	1	1	 Settimo Vittone                                                                	 POINT(7.8387678 45.5286192)	7.8387678	45.5286192
1267	1	1	 Sparone                                                                        	 POINT(7.4939575 45.3700175)	7.4939575	45.3700175
1268	1	1	 Strambinello                                                                   	 POINT(7.7666846 45.4098923)	7.7666846	45.4098923
1269	1	1	 Strambino                                                                      	 POINT(7.8912903 45.3435568)	7.8912903	45.3435568
1270	1	1	 Susa                                                                           	 POINT(7.0898019 45.1240904)	7.0898019	45.1240904
1271	1	1	 Tavagnasco                                                                     	 POINT(7.7804266 45.529368)	7.7804266	45.529368
1272	1	1	 Torino                                                                         	 POINT(7.6443915 45.0067924)	7.6443915	45.0067924
1273	1	1	 Torrazza Piemonte                                                              	 POINT(7.977244 45.2020686)	7.977244	45.2020686
1274	1	1	 Torre Canavese                                                                 	 POINT(7.7694087 45.3852807)	7.7694087	45.3852807
1275	1	1	 Torre Pellice                                                                  	 POINT(7.1810517 44.7939234)	7.1810517	44.7939234
1276	1	1	 Trana                                                                          	 POINT(7.3723475 45.0050855)	7.3723475	45.0050855
1277	1	1	 Trausella                                                                      	 POINT(7.779052 45.4788932)	7.779052	45.4788932
1278	1	1	 Traversella                                                                    	 POINT(7.7495511 45.4999787)	7.7495511	45.4999787
