"COD_REG","COD_CM","COD_PRO","PRO_COM","COMUNE","NOME_TED","E_EPGS32632","W_EPGS32632","S_EPGS32632","N_EPGS32632","E_EPGS4326","W_EPGS4326","S_EPGS4326","N_EPGS4326"
1,201,1,1028,"Borgaro Torinese",NA,392884.433380712,399059.043944594,4997670.82670045,5002108.3364816,7.63725852479935,7.71607444453707,45.1245815049395,45.1646165025371
1,201,1,1029,"Borgiallo",NA,393532.357591353,396473.02528313,5027628.64430361,5034788.09129148,7.6384152566617,7.67687821090428,45.3944010573329,45.458545865553
1,201,1,1085,"Cinzano",NA,413925.996434399,416753.59989715,4991793.41924754,4995629.89015962,7.90609119298488,7.94219016740001,45.0744992138756,45.1089492133371
1,201,1,1086,"Ciri̬",NA,386367.668605252,392251.405251659,5005237.31136597,5011508.76443857,7.55294894869326,7.62743807329029,45.1919501200498,45.248296736987
1,201,1,1087,"Claviere",NA,321921.196153806,323647.557915076,4975770.50819505,4979642.47895316,6.74308050173934,6.76562572237781,44.9133214679642,44.9482065818955
1,201,1,1022,"Bardonecchia",NA,313279.251360576,331328.647329369,4987725.91599998,5003127.8019971,6.62662135986088,6.8554769232348,45.019325388659,45.1598399338442
1,201,1,1011,"Angrogna",NA,350198.141987897,362213.895196851,4965154.6035568,4972752.04394295,7.10396177266249,7.25662587040448,44.8260316181525,44.8931823779772
1,201,1,1012,"Arignano",NA,412073.981012775,414544.493202767,4985438.96508636,4990446.92844329,7.88375611975828,7.91496502954259,45.0169870477261,45.062176792583
1,201,1,1117,"Gravere",NA,343038.27769677,346920.31053925,4993261.88655656,4999974.83602504,7.0040221107615,7.05339974038832,45.0758698278795,45.1362784262457
1,201,1,1204,"Pramollo",NA,353796.582525981,359789.441121565,4970689.56164309,4976559.51657126,7.14842556237365,7.22371617637156,44.8756160799828,44.9281058049569
